algorithm,antecedents,consequents,support,confidence,lift,recency_score,composite_score_with_recency
Apriori,frozenset({'dessert'}),frozenset({'pastry'}),0.0017,0.0702,1.3288,0.9836,0.4121
Apriori,frozenset({'frozen meals'}),frozenset({'brown bread'}),0.0013,0.0714,1.6941,0.9672,0.4274
Apriori,frozenset({'frozen vegetables'}),frozenset({'butter'}),0.0017,0.0615,1.642,0.936,0.3954
Apriori,frozenset({'salty snack'}),frozenset({'root vegetables'}),0.0017,0.0816,1.5973,0.9202,0.3776
Apriori,frozenset({'white bread'}),frozenset({'bottled beer'}),0.0017,0.0635,1.4616,0.9524,0.3952
Apriori,frozenset({'newspapers'}),frozenset({'shopping bags'}),0.0026,0.0645,1.1928,0.9094,0.3349
Apriori,frozenset({'chocolate'}),frozenset({'pip fruit'}),0.0013,0.0732,2.4198,0.8354,0.3695
Apriori,frozenset({'coffee'}),frozenset({'root vegetables'}),0.0021,0.0649,1.2706,0.936,0.365
Apriori,frozenset({'long life bakery product'}),frozenset({'yogurt'}),0.0021,0.1064,1.365,0.883,0.3255
Apriori,frozenset({'liquor (appetizer)'}),frozenset({'soda'}),0.0013,0.3,3.0232,0.5501,0.1653
Apriori,frozenset({'white bread'}),frozenset({'brown bread'}),0.0017,0.0635,1.5059,0.936,0.3842
Apriori,frozenset({'ice cream'}),frozenset({'rolls/buns'}),0.0017,0.1379,1.3665,0.8959,0.3372
Apriori,frozenset({'specialty chocolate'}),frozenset({'domestic eggs'}),0.0013,0.0714,1.6771,0.9376,0.3996
Apriori,frozenset({'chocolate'}),frozenset({'canned beer'}),0.0013,0.0732,2.2312,0.8507,0.3677
Apriori,frozenset({'UHT-milk'}),frozenset({'bottled water'}),0.0017,0.08,1.244,0.9524,0.3774
Apriori,frozenset({'oil'}),frozenset({'bottled beer'}),0.0013,0.0682,1.5695,0.9524,0.404
Apriori,frozenset({'beverages'}),frozenset({'soda'}),0.0013,0.1111,1.1197,0.9836,0.395
Apriori,frozenset({'hard cheese'}),frozenset({'newspapers'}),0.0013,0.0937,2.3669,0.8053,0.3385
Apriori,frozenset({'candy'}),frozenset({'soda'}),0.0017,0.1053,1.0608,0.9524,0.3624
Apriori,frozenset({'domestic eggs'}),frozenset({'root vegetables'}),0.0026,0.06,1.174,0.89,0.3162
Apriori,frozenset({'candy'}),frozenset({'rolls/buns'}),0.0017,0.1053,1.0429,0.9524,0.3609
Apriori,frozenset({'hard cheese'}),frozenset({'shopping bags'}),0.0013,0.0937,1.7333,0.8959,0.3672
Apriori,frozenset({'specialty bar'}),frozenset({'soda'}),0.0013,0.1071,1.0797,0.9836,0.3917
Apriori,frozenset({'pork'}),frozenset({'bottled water'}),0.0017,0.0851,1.3234,0.9232,0.3579
Apriori,frozenset({'chocolate'}),frozenset({'bottled water'}),0.0017,0.0976,1.517,0.883,0.338
Apriori,frozenset({'meat'}),frozenset({'yogurt'}),0.0013,0.1,1.2831,0.9524,0.3806
Apriori,frozenset({'oil'}),frozenset({'tropical fruit'}),0.0013,0.0682,1.6336,0.9202,0.3806
Apriori,frozenset({'waffles'}),frozenset({'root vegetables'}),0.0017,0.0741,1.4494,0.89,0.3387
Apriori,frozenset({'white wine'}),frozenset({'rolls/buns'}),0.0013,0.1111,1.1008,0.9524,0.3657
Apriori,frozenset({'ice cream'}),frozenset({'whole milk'}),0.0017,0.1379,1.0152,0.8959,0.3085
Apriori,frozenset({'candy'}),frozenset({'bottled water'}),0.0013,0.0789,1.2276,0.9524,0.3761
Apriori,frozenset({'white bread'}),frozenset({'newspapers'}),0.0017,0.0635,1.603,0.8618,0.3262
Apriori,frozenset({'hygiene articles'}),frozenset({'white bread'}),0.0013,0.0857,3.1946,0.6303,0.2506
Apriori,frozenset({'sliced cheese'}),frozenset({'yogurt'}),0.0013,0.0833,1.0692,0.9376,0.3499
Apriori,frozenset({'sugar'}),frozenset({'root vegetables'}),0.0013,0.0682,1.3341,0.9048,0.3425
Apriori,frozenset({'dishes'}),frozenset({'other vegetables'}),0.0017,0.2,1.8202,0.6779,0.1805
Apriori,frozenset({'long life bakery product'}),frozenset({'brown bread'}),0.0013,0.0638,1.5139,0.8666,0.3231
Apriori,frozenset({'chocolate'}),frozenset({'shopping bags'}),0.0013,0.0732,1.3528,0.883,0.3245
Apriori,frozenset({'pork'}),frozenset({'pastry'}),0.0013,0.0638,1.2086,0.9068,0.334
Apriori,frozenset({'long life bakery product'}),frozenset({'tropical fruit'}),0.0013,0.0638,1.5293,0.8507,0.3103
Apriori,frozenset({'UHT-milk'}),frozenset({'root vegetables'}),0.0013,0.06,1.174,0.9048,0.3294
Apriori,frozenset({'long life bakery product'}),frozenset({'domestic eggs'}),0.0013,0.0638,1.4987,0.8206,0.281
Apriori,frozenset({'sweet spreads'}),frozenset({'other vegetables'}),0.0013,0.2143,1.9502,0.5612,0.0873
