algorithm,antecedents,consequents,support,confidence,lift,recency_score,composite_score_with_recency
FP-Growth,frozenset({'fruit/vegetable juice'}),frozenset({'butter'}),0.0012,0.0326,0.9556,0.9987,0.3989
FP-Growth,frozenset({'margarine'}),frozenset({'rolls/buns'}),0.0029,0.0811,0.7957,0.9961,0.3343
FP-Growth,frozenset({'citrus fruit'}),frozenset({'rolls/buns'}),0.0026,0.0761,0.747,0.9987,0.3269
FP-Growth,frozenset({'newspapers'}),frozenset({'yogurt'}),0.0026,0.0636,0.8092,0.9974,0.3423
FP-Growth,frozenset({'waffles'}),frozenset({'root vegetables'}),0.0012,0.0588,0.9739,0.9961,0.3978
FP-Growth,frozenset({'coffee'}),frozenset({'margarine'}),0.0011,0.0352,0.993,0.9974,0.4071
FP-Growth,frozenset({'tropical fruit'}),frozenset({'whole milk'}),0.0038,0.0784,0.6011,1.0,0.2776
FP-Growth,frozenset({'whole milk'}),frozenset({'waffles'}),0.0025,0.0192,0.9467,0.9961,0.3811
FP-Growth,frozenset({'hamburger meat'}),frozenset({'other vegetables'}),0.0014,0.0833,0.7811,1.0,0.3461
FP-Growth,frozenset({'brown bread'}),frozenset({'white bread'}),0.0011,0.0268,1.0043,0.9974,0.4096
FP-Growth,frozenset({'sugar'}),frozenset({'tropical fruit'}),0.0011,0.0556,1.1385,0.9908,0.4354
FP-Growth,frozenset({'bottled water'}),frozenset({'curd'}),0.0017,0.0276,0.9144,0.9987,0.3816
FP-Growth,frozenset({'ham'}),frozenset({'whole milk'}),0.0011,0.1047,0.802,0.9987,0.3513
FP-Growth,frozenset({'root vegetables'}),frozenset({'salty snack'}),0.0013,0.0218,1.1105,0.9935,0.4312
FP-Growth,frozenset({'margarine'}),frozenset({'coffee'}),0.0011,0.0304,0.993,0.9974,0.4056
FP-Growth,frozenset({'soda'}),frozenset({'pip fruit'}),0.0029,0.0303,0.8079,0.9987,0.3415
FP-Growth,frozenset({'candy'}),frozenset({'rolls/buns'}),0.0014,0.0896,0.8788,0.9961,0.3659
FP-Growth,frozenset({'other vegetables'}),frozenset({'chewing gum'}),0.0013,0.0123,1.0108,0.9974,0.4095
